text, domain, over_all_sentiment
ไม่คุ้มค่ากับราคาที่จ่าย, Hotel, neg
พนักงานไม่มีการบริหาร จัดการที่ดี ไม่มีความสะดวก ให้ลูกค้านั่งรอเช็คอินมากกว่า 1 ชั่วโมง #ไม่ประทับใจ, Hotel, neg
การบริการแย่ มีปัญหากับการบุ๊ค จองห้องของอโกด้า พนักงาน และผู้จัดการฝ่ายต้อนรับ ไม่สนใจไยดี บอกอย่างเดียวให้ออกไปติดต่ออโกด้าเอง, Hotel, neg
ห้องสกปรก มีทรายบนที่นอน และเหม็นอับ ซักโครกกดไม่ค่อยลง ขี้ลอย ต้องกดหลายๆทีถึงจะหมด ท่อน้ำทิ้งก็ละบายช้ามาก อาบน้ำทีน้ำเต็มพื้น แล้วก็มีกลิ่นออกมาจากท่อ ไม่มีน้ำดื่มให้ หาที่จอดรถลำบาก ยิ่งถ้าไปเที่ยวกลับมาดึกๆ ต้องขับไปจอดด้านในไกลสุด อาหารเช้าไม่กล้าทาน เพราะกลางคืนพยายามดื่มให้เมาแล้วนอน รีบตื่นรีบเช็คเอาท์ กลับ ไม่เอาแล้ว, Hotel, neg
แพงเกินไปไม่สมกับราคา หนีไปค่ะ, Hotel, neg
ไม่แนะนำ ภาพกับของจริงต่างกันมาก บริเวณโรงแรมมีกลิ่นเหม็นคาว ไม่คุ้มค่าเงินที่จ่ายเลย, Hotel, neg
บริการแม่บ้านแย่มาก ห้องไม่สะอาด ห้องน้ำมีกลิ่นเหม็น, Hotel, neg
ห้องสกปรกมาก มีคราบเหลือง อาหารมีแต่ข้าวต้ม ต้องยืนรอ, Hotel, neg
ห้องน้ำ ระบายน้ำไม่ดี แทบจะสระผมไม่ได้มีน้ำขังคะ, Hotel, neg
ไม่ดีค่ะ ขออะไรใหม่ไม่ได้เช่นผ้าเช็ดตัวเปียกขอใหม่ ก็คือคิดเงินเพิ่ม ออกช้าก็คือคิดเงินเพิ่มเลย ไม่มีการผ่อนปรนให้, Hotel, neg
โรงแรมด้านนอกดูเหมือนจะดี แต่ด้านในไม่สะอาด ห้องเสียงดังเวลาอีกห้องปิดประตู ไม่เก็บเสียง ไม่รู้ได้ 4 ดาวได้ไง ไม่สะอาด น้ำไม่แรง อาหารเช้าให้นอนทานไม่อิ่ม ให้อาหารอย่างเดียว และขนมปังบุฟเฟต์ ราคาห้องในอโกด้าแพงกว่าที่ซื้อที่โรงแรม, Hotel, neg
บริการไม่ค่อยดี ห้องเสียงดัง, Hotel, neg
ห้องพักสตูราคา 1200 กว่าบาทอ่านจากรีวิวว่ามีของให้ครบแต่พอตอนไป ไม่มีแม้แต่กาน้ำร้อน ผ้าห่มและเตียงมีเศษผมของแขกคนเก่าติดอยู่หลายเส้น และผ้าดูสีหมองไปหมดแล้ว แม่บ้านเสียงดังมาก ทั้งเข็นรถ เสียงคุย เปิดเพลงเสียงดัง จนตื่น ไม่โอเคเลย ไม่คุ้มค่าเงินที่เสียไป, Hotel, neg
อาหารเช้า ตัวเลือกน้อย พนักงาน ก้าวร้าว, Hotel, neg
สั่งอาหารตามเมนู ไม่มี แต่แนะนำตัวอื่นก็ไม่ได้มาตราฐาน ไม่สมราคา, Hotel, neg
ไม่ค่อยประทับใจ ไปถึงโรงแรมบ่าย3โมงครึ่ง ยังเข้าห้องไม่ได้ พนักงานแจ้งห้องพักยังทำไม่เสร็จ ต้องขอเปลี่ยนห้อง ห้องน้ำชักโครกใช้ไม่ได้ ต้องเเจ้งให้พนักงานมาดูทั้ง2วัน, Hotel, neg
